Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,12451.251306000006,44789.251306,32338.0,121
2,11308.809165999997,44528.809166,33220.0,121
3,10454.823775999997,44223.82377599999,33769.0,121
4,12089.331150000004,45683.33115000003,33594.0,121
5,14639.63804,46769.638040000005,32130.0,121
6,12605.19365600001,45414.19365600001,32809.0,121
8,13600.607692000003,45679.60769200002,32079.0,121
10,10883.703441999998,45050.70344200001,34167.0,121
12,13720.931148000007,45441.931148,31721.0,121
13,14556.5092,46129.5092,31573.0,121
14,14578.818299999999,46206.818300000006,31628.0,121
15,14785.909882,46184.909882000036,31399.0,121
18,13046.213615999997,44492.21361600001,31446.0,121
19,14171.788890000007,45247.788889999996,31076.0,121
20,14333.124850000004,45546.12484999999,31213.0,121
21,13849.198496,44933.19849600002,31084.0,121
22,15289.120094000009,45913.12009399999,30624.0,121
