Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,9277.196182000001,45240.19037599999,35732.0,121
2,11190.273918000003,47324.53877800001,35761.0,121
3,9858.480716000002,45854.746792,35706.0,121
4,9474.465644000004,45131.05368400002,35334.0,121
5,9954.305404000002,46215.73521400002,36063.0,121
6,10439.020710000012,45837.30116199998,35159.0,121
7,8487.994245999997,44934.19208199998,36144.0,121
8,9115.385142,45088.098284,35780.0,121
11,12105.434388000005,47353.27643800001,34919.0,121
12,9719.400469999999,44616.72856800001,34730.0,121
13,12247.685641999993,46596.024875999974,34085.0,121
14,10197.546069999999,45574.71468399999,35080.0,121
15,11225.000329999999,45798.82649599999,34192.0,121
17,11902.367900000007,46534.380654,34288.0,121
18,10248.413152,44732.02663599999,34351.0,121
20,10447.317002000003,45078.43037200002,34336.0,121
22,13347.459432,47195.92040600002,33621.0,121
23,12963.953520000008,46619.91219800002,33249.0,121
24,10669.273045999997,44970.56494800001,33972.0,121
25,13741.827923999997,47406.666266,33309.0,121
27,12095.756770000005,45978.60379200001,33663.0,121
28,11043.834966000008,45608.701434,34251.0,121
29,8841.63917,44130.965712000005,35060.0,121
30,13564.178146,47036.65353599999,33171.0,121
32,12180.500986000005,46370.96289000001,33915.0,121
33,11175.148130000001,45422.17798600001,33939.0,121
34,12887.048862000009,46806.05274199998,33588.0,121
35,11210.602104,46070.0498,34596.0,121
36,12784.322254000002,46068.173916,33020.0,121
37,10780.954586000002,45522.09620400001,34398.0,121
38,13433.961112000003,47071.59877400002,33349.0,121
39,9742.528334000006,44785.17333199999,34675.0,121
40,11861.375202000001,45682.294126000015,33559.0,121
41,9652.949356,44852.482506000015,34963.0,121
42,12218.071496,46001.16045400002,33352.0,121
44,9851.723762,44805.53648800001,34746.0,121
45,12315.189418,46550.165003999995,33979.0,121
46,10698.961226,45108.154382,34077.0,121
48,8932.594908,44408.809058,35247.0,121
50,10979.202926,45282.90546000002,34076.0,121
51,11626.545605999996,46107.347273999985,34289.0,121
52,12074.436098000006,46106.47234199999,33722.0,121
53,11149.516281999999,46215.31186200001,34818.0,121
54,13166.687370000005,47278.41767200002,33595.0,121
55,10260.331360000004,45390.14117599999,34802.0,121
56,13137.641537999994,46679.39062000004,33268.0,121
57,10428.274340000002,45428.59079,34696.0,121
58,11181.890386000001,45751.306381999995,34225.0,121
59,11283.696944000007,46096.914006000006,34413.0,121
60,11203.504866,45893.736388000005,34399.0,121
61,10709.01766,45071.096410000006,34021.0,121
62,9850.095400000002,45259.34222800001,35102.0,121
63,12676.116300000003,46872.21822200003,33922.0,121
64,10463.300446,45800.136108000006,34912.0,121
65,10906.823214000007,45348.160985999995,34194.0,121
66,11329.517724000008,46016.55567400001,34445.0,121
67,10408.670296,45490.95802200001,34800.0,121
68,9618.614426000002,45279.221147999975,35498.0,121
69,10415.551684000007,45101.76298600001,34433.0,121
70,11757.977396000006,46213.638995999994,34223.0,121
71,12016.107154,46654.75856999998,34342.0,121
72,10168.091938000005,44876.22175,34504.0,121
73,12213.443776,46372.48962800001,33900.0,121
