Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,19193.659604000008,51738.32347800001,32301.0,121
2,17146.68817000001,50030.22525000001,32646.0,121
3,19126.06822800001,51694.85725600001,32304.0,121
4,19406.56792800002,52194.041024,32393.0,121
7,20368.753650000013,52503.32805199999,31809.0,121
8,17898.626362000014,51223.888113999994,33037.0,121
9,20420.72928200001,52363.14430800001,31595.0,121
11,18245.427592000007,50699.08198800001,32107.0,121
12,19432.117856000004,51737.731692,31908.0,121
15,22186.424234000013,53019.41307999999,30458.0,121
16,16996.859034000016,49373.47852199999,32117.0,121
18,18784.21136,50521.69379599999,31440.0,121
19,19326.101918000008,51419.645036,31760.0,121
20,19216.25343600001,51197.864693999974,31587.0,121
21,22104.52287,52853.10789199999,30376.0,121
22,20811.105566000006,52215.383546,31111.0,121
23,21374.561614000006,51770.656006000005,30142.0,121
24,20040.11519600001,51135.097583999996,30875.0,121
25,20752.928100000005,51529.723264,30457.0,121
27,20625.97046800001,51709.35178800003,30813.0,121
29,19207.386660000004,50797.394846,31347.0,121
30,21212.954174000002,52417.97746200001,30791.0,121
31,20514.402758000007,51534.47228799997,30779.0,121
33,20603.522694000003,51763.49174400003,30823.0,121
35,20511.91158800002,51797.784539999986,31037.0,121
36,23455.24555400001,53450.833951999964,29701.0,121
37,19793.79758400001,50920.396909999974,30863.0,121
38,20607.366004000014,51826.91795999998,30937.0,121
39,22303.52157800001,52388.560562,29761.0,121
40,18460.14968600001,51029.66807999998,32237.0,121
41,21770.587585999998,52405.243134,30359.0,121
42,19167.593964000014,51050.041366,31492.0,121
43,21930.597674000008,53017.780522,30772.0,121
44,21550.503352000014,52932.37763399997,30995.0,121
45,20153.204926000002,51162.651865999986,30774.0,121
46,20272.127409999997,51528.056364000004,30959.0,121
