Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,21246.54748400001,51347.54748400001,30101.0,121
2,21376.361280000005,50968.36127999999,29592.0,121
3,19215.66065400001,49396.660654,30181.0,121
4,22662.90602200001,51903.906021999996,29241.0,121
5,21963.595300000004,51633.59529999999,29670.0,121
6,22569.15895800001,51476.158958000015,28907.0,121
7,22712.060780000014,51900.06078,29188.0,121
8,20629.00370200002,50565.003702000016,29936.0,121
9,19352.89297800001,49946.89297800002,30594.0,121
10,20862.019238,50543.01923800001,29681.0,121
11,20312.42150400001,50358.42150399999,30046.0,121
12,21616.250226000007,50545.25022600002,28929.0,121
13,24395.970596000017,52311.970596,27916.0,121
14,20404.989454000017,49844.98945400001,29440.0,121
15,25139.736431999998,52548.73643200001,27409.0,121
16,22104.07535600001,50984.07535599998,28880.0,121
17,21218.3275,50033.3275,28815.0,121
18,20835.032742000007,50179.03274199999,29344.0,121
19,19973.17384600001,49469.173846,29496.0,121
20,24448.393816,52491.39381599999,28043.0,121
21,24573.23955,52343.239550000035,27770.0,121
22,23670.192808000007,51526.19280799999,27856.0,121
24,22028.892152000008,51041.892152000015,29013.0,121
25,22436.69865400001,51128.698654000014,28692.0,121
26,20020.333236000006,49368.333236000006,29348.0,121
27,22594.540904000005,50933.54090399999,28339.0,121
28,20695.867996000004,50091.86799599998,29396.0,121
29,22350.482648000012,50761.48264799999,28411.0,121
30,23875.377442000005,51972.377441999975,28097.0,121
31,23228.339998000007,51860.339998,28632.0,121
32,25711.785322,52546.785322000025,26835.0,121
33,21247.428080000016,50073.42808,28826.0,121
34,21119.007094000015,50457.00709399999,29338.0,121
37,21790.912156000006,51255.91215599999,29465.0,121
39,22564.360641999996,51197.36064200001,28633.0,121
40,20759.43857000001,50271.438570000006,29512.0,121
41,25560.06692200001,53272.06692199998,27712.0,121
42,23103.86305200002,51372.863051999986,28269.0,121
43,20989.417712000006,50482.417712,29493.0,121
44,22664.62656200001,50861.626562000005,28197.0,121
45,21460.95292,50219.95292,28759.0,121
46,23586.955752000016,51792.95575200003,28206.0,121
