Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,11015.843122000006,44389.84312199999,33374.0,121
2,10990.639756000008,44502.639756,33512.0,121
3,13759.886126000005,46404.886126,32645.0,121
5,12745.686006000007,45348.68600600001,32603.0,121
6,11888.47736,45198.47736000001,33310.0,121
7,13985.134228000003,45881.134228,31896.0,121
8,11827.158142000002,44296.15814199998,32469.0,121
9,14754.679974000006,46160.679974000006,31406.0,121
11,11892.525304000012,45351.52530400002,33459.0,121
12,12187.581692000007,45141.58169200002,32954.0,121
13,14788.168050000002,46460.168050000015,31672.0,121
14,13332.265062000004,45091.265061999984,31759.0,121
15,16495.32373000001,47031.32372999999,30536.0,121
16,12848.357853999998,44778.357853999994,31930.0,121
17,12245.315949999998,44354.31595000002,32109.0,121
18,10188.458238000007,42741.458237999985,32553.0,121
19,15503.60903200001,46402.609032000015,30899.0,121
20,15222.798320000002,46056.79832000001,30834.0,121
21,15614.578352000004,46325.578352000026,30711.0,121
22,15492.632445999998,45952.63244600001,30460.0,121
23,13925.166616000004,45487.16661600001,31562.0,121
24,13260.746054000005,44999.746054,31739.0,121
26,13671.362228000005,45288.36222799998,31617.0,121
27,14954.265674000006,46054.26567400002,31100.0,121
28,14850.344010000003,46200.34401,31350.0,121
29,13325.409953999999,44957.40995400002,31632.0,121
30,12455.739424000007,44951.739424000014,32496.0,121
31,13952.069096000003,45395.06909600001,31443.0,121
34,14773.514932000006,46151.51493200001,31378.0,121
35,16065.993612000004,46822.993612000006,30757.0,121
37,13698.571504000003,44720.57150400001,31022.0,121
39,10666.791074,43846.791073999986,33180.0,121
40,14971.703546000004,46060.70354600001,31089.0,121
41,16082.979020000006,46669.979019999984,30587.0,121
42,14693.649932,45732.64993199997,31039.0,121
43,15544.729825999999,46156.72982599999,30612.0,121
44,14932.500774000002,45735.50077399999,30803.0,121
45,14017.435005999998,45616.43500600003,31599.0,121
46,16465.017392,46880.017391999994,30415.0,121
48,14778.506134,45955.50613400001,31177.0,121
49,12846.145977999999,44707.14597800001,31861.0,121
50,13049.543518,45081.543518,32032.0,121
51,12683.903448000005,44895.903447999975,32212.0,121
52,14750.827460000004,46294.827460000015,31544.0,121
53,14021.497872000004,45719.497872000014,31698.0,121
54,12052.541144000004,44639.54114399998,32587.0,121
56,13585.329210000007,45213.329209999996,31628.0,121
57,11823.818274000003,44123.818274,32300.0,121
58,13831.708621999998,45710.70862199999,31879.0,121
59,15113.853556000002,45875.85355599998,30762.0,121
60,14832.389594000006,45878.38959399999,31046.0,121
61,12491.680654000002,44756.68065399998,32265.0,121
62,15741.090366000011,46626.090366000004,30885.0,121
63,12968.537752,45394.53775200001,32426.0,121
64,14015.162840000005,45837.16284000001,31822.0,121
65,15572.635290000006,46753.63529000003,31181.0,121
66,16419.314252,46065.31425200001,29646.0,121
