Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,18801.585996000013,51674.301239999964,32673.0,121
2,17455.713104000017,50136.25018400001,32443.0,121
3,19914.897056000016,52240.562474,32136.0,121
4,18260.829682000007,51261.252234,32757.0,121
5,20528.203694000018,52420.98452799997,31753.0,121
6,18996.557971999995,51841.357864000005,32565.0,121
7,17822.092942,50188.48738200001,32002.0,121
8,19051.413720000008,52075.382183999965,32668.0,121
9,18304.919148,51235.617089999985,32601.0,121
10,20306.45204000001,52227.874738,31709.0,121
12,18188.988159999997,51006.288234,32507.0,121
13,16850.086244000006,49687.737822,32580.0,121
14,18928.297578000005,50999.39667999998,31748.0,121
15,20774.613008000015,52343.39574999999,31205.0,121
17,19856.711812000005,52184.573114,32062.0,121
18,18912.136678,50886.124974,31590.0,121
19,18180.082014000014,50289.49521400002,31853.0,121
20,23398.301296000012,54091.323694,30242.0,121
21,23372.976204000006,53350.201144,29702.0,121
22,19835.342082000017,51016.49481400001,30984.0,121
23,19943.97182400001,51159.744516000006,30983.0,121
24,20269.859065999997,51694.285110000004,31051.0,121
25,21573.274418000008,51873.93099200001,29841.0,121
26,18774.06335000001,50952.355443999986,31883.0,121
27,19336.97145,51020.536144000005,31474.0,121
28,20043.17982200001,51949.97500600001,31537.0,121
29,20751.58139400001,52192.29536199996,31192.0,121
30,20706.25437000001,51991.90243800002,30956.0,121
31,20241.359408000004,51989.455219999974,31450.0,121
32,21781.605880000014,52321.633094000004,30237.0,121
33,20378.256992000006,52028.61703200001,31242.0,121
34,20317.83042,51977.409246,31269.0,121
35,22970.358647999998,52905.57297800001,29626.0,121
36,19514.16945800001,51169.92897399997,31372.0,121
37,21227.64718400001,51793.473689999984,30337.0,121
38,19807.596670000006,50651.21253800003,30495.0,121
39,18113.306846000003,50120.21156,31726.0,121
40,22098.556404000014,52857.51269200001,30322.0,121
41,22099.433706000014,52042.16033399999,29494.0,121
42,20895.707001999996,51774.66737800001,30665.0,121
44,19807.765446000016,52117.67609600002,31980.0,121
45,16118.43512600001,48675.82560199999,32267.0,121
46,18240.06311800001,51001.242774,32530.0,121
47,18759.39587200001,51042.626828,32008.0,121
48,18856.888402000015,50582.42088200001,31575.0,121
49,19535.163144000013,51038.32606999999,31232.0,121
52,20505.16554,52124.352307999994,31336.0,121
54,19911.670158,51349.60226600004,31136.0,121
55,21517.270116000007,52237.73363999997,30419.0,121
56,18959.645080000013,51226.853050000005,31863.0,121
57,18227.02912400001,50369.305003999994,31710.0,121
58,20697.140752000014,51551.51973399998,30531.0,121
59,21227.61618600002,52260.47689600001,30832.0,121
60,19396.345952000003,50942.62833599998,31313.0,121
61,20429.201858000015,51859.45569799999,31146.0,121
62,20471.459450000002,52390.645423999966,31626.0,121
63,20147.029154000007,51388.63113400001,31072.0,121
66,18457.854878000016,50418.200694,31782.0,121
67,18392.442138000006,50685.67948400001,31986.0,121
68,21559.620682000008,52207.731225999996,30449.0,121
69,19827.256216000016,51245.98962799999,31121.0,121
70,21071.73048800001,52008.776655999995,30720.0,121
71,17746.499486000004,50167.18041800003,32065.0,121
72,20539.784352000006,51814.12227600001,30946.0,121
73,20706.882208000017,52077.90252399999,31027.0,121
74,21151.230826,52003.04987799999,30452.0,121
75,18977.120250000014,51407.352190000005,32006.0,121
76,21799.303580000018,53129.48357600003,30987.0,121
77,16188.554576000013,49423.804509999994,32973.0,121
78,21607.70409200001,53239.81208599998,31248.0,121
79,21336.93302800001,52300.233656000004,30657.0,121
80,20745.735522000003,51882.25916000001,30766.0,121
81,19223.905272000007,50881.262106,31403.0,121
83,20151.294816,51046.63287600002,30626.0,121
84,20956.053980000004,52516.18260799998,31148.0,121
85,18973.053552000012,50784.643606,31480.0,121
86,20162.70075200001,51417.454412000014,30970.0,121
87,21555.115486,52678.93309600001,30841.0,121
88,19436.011508,51396.71402000002,31565.0,121
89,21334.365791999997,52195.554988,30496.0,121
90,18666.234038000002,49998.60032199999,31022.0,121
91,19458.88008400002,50620.062256,30757.0,121
92,18893.278886000004,51071.23280600002,31824.0,121
93,20006.826825999997,51211.98124000001,30998.0,121
97,18078.651804000005,50107.40310000002,31674.0,121
98,21246.227456,52633.97744400001,31084.0,121
99,20200.433334000005,52417.981639999976,31736.0,121
100,21005.94157600001,52082.560207999966,30746.0,121
101,20674.512396000002,51542.63539199997,30548.0,121
102,20168.571902000014,51327.76329400001,30928.0,121
103,18029.074490000006,50424.31816400001,32089.0,121
104,20798.823056000005,51794.558486,30733.0,121
105,21763.56159800001,52186.310063999976,30100.0,121
106,20204.049488000015,52020.96265600001,31457.0,121
107,19694.739172000005,50965.56194000001,30995.0,121
108,19731.591664,51262.57473000001,31261.0,121
109,22140.605403999998,52773.63401800004,30458.0,121
110,19465.49727000001,51001.98591199999,31225.0,121
111,21869.30793800001,52687.13031799998,30510.0,121
112,19378.332158000012,50763.301326000015,31138.0,121
113,20823.798964000016,52302.67560000001,31144.0,121
114,20158.468409999998,51662.81597200002,31069.0,121
115,22796.379696000007,53210.943816,30058.0,121
116,20902.447713999994,51811.467867999985,30588.0,121
117,21924.856558000003,52382.56750799998,30194.0,121
118,16831.213866000006,49590.55819399998,32468.0,121
119,17613.288704000002,49681.21212800002,31799.0,121
120,19168.626960000012,50564.682808000005,31221.0,121
121,22133.824610000018,52106.065520000004,29722.0,121
122,21508.78902,52426.373612,30701.0,121
123,20076.42617200001,50908.478242000005,30556.0,121
124,20821.238144000003,51311.826854000006,30292.0,121
126,19554.93762000002,51598.804075999986,31758.0,121
127,22674.777560000006,53045.58964399998,30076.0,121
128,18287.178264000006,50241.117424,31680.0,121
129,22778.376586000002,53412.42682999999,30171.0,121
130,20032.05500600001,51175.46984000002,30937.0,121
131,19107.21519800001,50837.72590200003,31427.0,121
132,19906.52624800001,51491.53917599999,31212.0,121
133,21833.87805000001,52499.83535200002,30370.0,121
134,17166.795242,49825.480963999995,32257.0,121
135,21495.394484000015,51988.999720000014,30168.0,121
136,23922.738990000013,54174.68138799999,29918.0,121
137,17657.608042000007,50421.28682400001,32473.0,121
138,20107.639228000007,50936.761755999985,30540.0,121
139,19665.454624000005,50659.06993000001,30733.0,121
140,19937.000270000015,50923.29354999998,30729.0,121
141,20838.41905,51593.07821000001,30494.0,121
142,17182.023614000005,49736.91752999999,32294.0,121
143,19587.162849999997,51153.41884800001,31237.0,121
144,22899.095160000015,53310.91392799998,30053.0,121
146,19647.633718000012,51769.076164,31782.0,121
147,21789.10494000001,52447.112173999994,30350.0,121
148,21105.60841600001,51408.077458000014,30093.0,121
149,17236.600506000006,49831.93134800001,32238.0,121
150,22319.83835600001,52910.15145400003,30237.0,121
151,17545.592244000003,49888.290670000024,32036.0,121
152,19159.274744000002,50906.40440400004,31542.0,121
153,19394.752569999997,50515.135474,30947.0,121
154,20676.254016,51953.53736000003,30888.0,121
155,19016.756596,50917.821547999985,31540.0,121
156,20282.451560000012,51134.81239199999,30605.0,121
157,21364.128996000007,52084.37273000002,30383.0,121
158,21718.103802000012,52147.247262000004,30216.0,121
159,20346.143888000006,51700.146663999985,31038.0,121
161,16912.08921800001,49503.469058,32324.0,121
162,22586.78738400001,52765.761188,29913.0,121
163,20457.363064000005,51718.935574,30897.0,121
164,20766.37137600002,51353.71593599998,30274.0,121
165,19815.26742200001,51130.32298800002,31058.0,121
166,19255.89818600001,50718.79192800002,31072.0,121
167,19776.900242000014,51184.692128,31154.0,121
168,20018.175861999993,51485.76800800002,31165.0,121
169,21888.01342800001,52440.64564999996,30334.0,121
170,21190.288422,51357.10932200001,29918.0,121
171,19794.966322000004,51557.830018,31422.0,121
172,19641.403978000006,50977.427386,31023.0,121
173,20197.59852800001,51660.853529999986,31133.0,121
174,21055.391827999996,52297.412614000015,31012.0,121
175,19047.56379000001,51456.27303400001,32113.0,121
177,19561.614738000007,50856.65161000001,31048.0,121
178,20633.639014000004,51719.267906,30861.0,121
179,21134.152392000007,51848.74978,30450.0,121
180,20875.54265400001,51187.417746,30184.0,121
181,20745.707038000008,51840.044777999996,30885.0,121
182,21250.06351400001,52718.960938000004,31073.0,121
183,22357.180087999994,52544.543014000024,29970.0,121
184,22576.83428800001,53357.09966599997,30650.0,121
185,22342.637222,52518.424005999994,29981.0,121
186,18485.835612000013,50882.57324800002,32125.0,121
187,20649.668222000004,51347.358179999996,30410.0,121
188,22461.00834200001,52647.16000599997,29873.0,121
189,21160.666257999997,52147.23726599999,30702.0,121
190,19992.510058000003,51216.29179600002,31031.0,121
191,20551.996878000016,51406.360278,30518.0,121
192,21030.93372600001,52125.68563399998,30849.0,121
193,19821.272072000007,51391.65929599999,31229.0,121
194,20702.88751600002,50884.06237199999,29948.0,121
195,21008.56454800001,51878.05122199997,30612.0,121
197,17371.553102000005,49931.432838000015,32241.0,121
198,21023.911640000002,51811.62023999999,30481.0,121
199,23897.86041600002,53848.27094600001,29572.0,121
