Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,12882.63999800001,45069.63999800001,32187.0,121
2,11540.518870000009,44822.51887,33282.0,121
3,13089.163145999999,45319.163146000006,32230.0,121
4,14065.007918000008,46424.00791800001,32359.0,121
5,15407.633214000005,47280.63321400002,31873.0,121
6,13178.759842000007,45617.759842,32439.0,121
7,11885.874926000002,45234.874926000004,33349.0,121
8,12486.539842,45226.539842,32740.0,121
9,12683.206257999995,45671.206258,32988.0,121
11,11952.288212000001,44679.288212,32727.0,121
12,11565.491126000003,44785.49112600002,33220.0,121
13,13935.556844000008,45670.556843999984,31735.0,121
15,14118.281416000002,45600.28141599999,31482.0,121
16,15054.885945999999,46417.88594600002,31363.0,121
17,16138.247996000004,46835.24799600002,30697.0,121
18,14656.462822,45923.46282200002,31267.0,121
19,16311.59106,46468.591059999984,30157.0,121
21,14766.97296,46338.97295999999,31572.0,121
23,13187.521292000005,44973.52129200002,31786.0,121
25,13311.706915999997,45098.706915999996,31787.0,121
26,16457.161057999994,46991.16105799999,30534.0,121
27,13471.376138000003,44965.376138000014,31494.0,121
28,15678.834710000003,46561.83470999998,30883.0,121
