Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,20623.346150000005,51203.346150000005,30580.0,121
2,19306.390208000004,50014.39020799998,30708.0,121
3,22978.029638000007,52229.029637999985,29251.0,121
4,19554.40460600001,50253.404606000004,30699.0,121
5,21737.850626000007,51890.850626,30153.0,121
6,20329.485910000018,50419.48591000002,30090.0,121
7,22424.15582000001,51738.155820000015,29314.0,121
8,20303.18386800001,50877.18386799999,30574.0,121
9,20684.33379600001,50895.33379599999,30211.0,121
10,23355.393138000018,52466.393138,29111.0,121
11,20373.628556000007,50429.628556,30056.0,121
12,20986.177486000004,50764.177486,29778.0,121
14,22420.500290000004,51526.500289999996,29106.0,121
16,20042.465250000016,49518.465249999994,29476.0,121
17,23026.956586000008,51267.95658599998,28241.0,121
18,19448.954516000005,48798.95451599999,29350.0,121
19,22397.619348000007,51091.61934799999,28694.0,121
21,23370.370654,51594.370654000006,28224.0,121
22,23848.182022000023,51969.18202199999,28121.0,121
23,21066.042492000004,50157.04249199998,29091.0,121
24,23168.186584000003,51664.18658400002,28496.0,121
25,21398.386046000014,50434.386046000014,29036.0,121
26,21899.86497800001,50026.864978,28127.0,121
27,21194.693032000006,50169.693032,28975.0,121
28,22270.03054400001,50836.030543999994,28566.0,121
29,22355.510768,50770.51076800001,28415.0,121
30,20608.143486000015,50111.14348600001,29503.0,121
32,21480.416104,50546.41610399998,29066.0,121
33,24388.976260000018,52686.976259999996,28298.0,121
34,22342.188766000007,50739.188765999985,28397.0,121
35,20045.94140200001,49624.94140200001,29579.0,121
36,23892.43246800001,52328.43246800003,28436.0,121
37,22909.36117000001,51515.36116999998,28606.0,121
38,22677.99796,51199.99796000001,28522.0,121
39,22362.287914000004,50920.28791400002,28558.0,121
40,23418.822000000015,52295.821999999986,28877.0,121
41,24315.989832,52696.98983199999,28381.0,121
42,20557.054708000007,49980.05470800002,29423.0,121
43,22100.503074000007,51446.503074000015,29346.0,121
44,21526.865798000006,50649.865797999984,29123.0,121
45,22330.06574600001,50894.065746,28564.0,121
46,22298.027336000006,51030.027336,28732.0,121
48,21226.17257200001,50733.17257199999,29507.0,121
49,21678.719158,50160.71915800002,28482.0,121
50,24096.500432000004,52233.500432,28137.0,121
51,21907.587320000017,50744.58732000001,28837.0,121
52,21332.116069999993,50498.11607000001,29166.0,121
53,21915.22475400001,50940.224754,29025.0,121
