Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,-23103.773820000006,37403.22618,60507.0,154
2,-11907.958845999981,91995.42120599997,103686.0,301
3,-8706.407981999972,93788.778112,102290.0,301
4,-11532.277647999997,91242.46933399994,102628.0,301
5,-10998.74955799999,92063.58261000007,102848.0,301
6,-26073.855352,7749.144648,33823.0,70
7,-16581.020124,2965.9798760000003,19547.0,39
8,-11417.112097999998,1729.8879020000002,13147.0,25
9,-14144.193985999995,90239.37711799997,104204.0,301
10,-27158.167372000004,21360.832628000004,48519.0,113
11,-7384.375216000001,93867.36870600002,101055.0,301
12,-7695.954847999976,92753.41403200004,100249.0,301
13,-2283.791758000005,91202.26956399999,93304.0,301
14,-17639.47641,5143.523590000001,22783.0,53
15,-6771.680532,753.3194680000003,7525.0,15
16,-2181.3413119999786,91764.66711400004,93665.0,301
17,-1940.5398579999962,92136.14517399999,93924.0,301
18,5.557900000018606,95111.541418,94864.0,301
19,-6999.710918,949.2890820000002,7949.0,16
20,-3226.6595259999845,93124.08571799996,96101.0,301
21,-4891.044661999975,92464.14661000001,97156.0,301
22,-3519.4224019999947,93562.79557399999,96781.0,301
23,-9682.687767999996,90361.41363600003,99865.0,301
24,-10701.64125599999,89249.97844000002,99753.0,301
25,-4120.525882,92650.78450000001,96460.0,301
26,-20992.302657999986,37560.69734200001,58553.0,157
27,-24334.88242599999,18491.117574000004,42826.0,104
28,-5782.251877999992,91054.84472799995,96629.0,301
29,-3259.7157739999707,93624.70290399999,96688.0,301
30,-5687.959135999976,91463.35461600001,96910.0,301
31,-8674.580983999982,89566.95670199994,97995.0,301
32,-2040.416327999997,93189.54359599999,95061.0,301
33,-1661.1092679999647,91138.89073200006,92800.0,290
34,-8883.591227999997,89846.79721599998,98584.0,301
35,-5638.926780000021,91404.72654999999,96854.0,301
36,-4548.895709999971,92488.33507,96784.0,301
37,-5851.840850000013,91198.61110599995,96813.0,301
38,-19834.736781999996,5692.263218000001,25527.0,58
39,-24530.401359999967,29575.59864000002,54106.0,140
40,-3602.3047239999923,92338.54564799994,95740.0,301
41,-7161.460885999986,90028.07323999997,97008.0,301
42,-7585.909170000002,1572.0908300000006,9158.0,20
43,-15934.807566,3435.192434000001,19370.0,44
44,-3131.146329999986,80249.85367000005,83381.0,260
45,-6085.957522000001,913.042478,6999.0,15
46,-4836.154904000027,92427.76159599992,97031.0,301
47,-5953.317626,850.6823740000002,6804.0,15
48,-2830.703683999983,92820.40203599993,95492.0,301
49,-5582.727265999989,91208.408296,96566.0,301
50,-3022.65971999998,93329.126368,96117.0,301
51,-4617.904117999967,92540.11107000004,96823.0,301
52,-5970.448873999991,90530.22006,96313.0,301
53,-21607.312899999997,12610.687100000005,34218.0,84
54,-6076.933181999984,90545.13077399998,96413.0,301
55,-4441.89018399998,90983.67764,95173.0,301
56,-4754.792449999992,91603.34195600005,96117.0,301
57,-7367.196487999984,89755.37940199992,96927.0,301
58,-3082.936879999982,93289.12305600001,96094.0,301
59,-23487.70939,16188.290610000002,39676.0,99
60,-24947.964003999994,20007.03599600001,44955.0,111
61,-5939.664432,1027.3355680000002,6967.0,15
62,-4778.825717999988,91673.457354,96185.0,301
63,-3250.3668500000026,92963.26237400001,95943.0,301
64,-4828.649725999993,92210.39056999999,96797.0,301
65,-18190.488219999992,4108.511780000001,22299.0,50
66,-3515.3875199999716,92477.19430199995,95802.0,301
67,-1705.8472719999693,93880.49871599997,95269.0,301
68,-6157.583805999976,92544.87055000004,98475.0,301
69,-7405.626671999991,90640.88820200005,97777.0,301
70,-23980.938996,11464.061004,35445.0,84
71,-4289.090811999981,91862.96031400007,95918.0,301
72,-2144.7239659999777,71807.27603400002,73952.0,230
73,-4281.731825999965,91745.59601200002,95832.0,301
74,-16444.672258,4532.327742000001,20977.0,46
75,-5963.868059999973,91635.28358799996,97239.0,301
76,-16827.335368,4260.664632000001,21088.0,45
77,-5145.38661999998,93154.07779400003,98159.0,301
78,-5082.9702719999805,92291.27294600001,97181.0,301
