Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
2,14853.807121999997,46821.807122,31968.0,121
3,12331.617156000004,45572.617156000015,33241.0,121
4,15055.864754,46673.86475399996,31618.0,121
5,11531.228508000002,44491.22850800001,32960.0,121
6,14009.094321999994,46166.094322000004,32157.0,121
7,11181.335568000004,44507.33556800001,33326.0,121
8,13927.440866000003,46189.44086600001,32262.0,121
9,13530.807114000003,45694.80711400002,32164.0,121
10,12098.969894000002,45561.96989399999,33463.0,121
11,12434.504230000004,44999.50422999999,32565.0,121
12,13104.885886,44590.885886000025,31486.0,121
13,13495.547840000005,45579.54783999999,32084.0,121
14,14676.927352,46059.927352,31383.0,121
15,16210.530042000004,46818.53004199999,30608.0,121
16,15305.372425999998,46311.372425999994,31006.0,121
17,18056.470698,47512.470698000005,29456.0,121
18,11896.222088000002,43791.22208800001,31895.0,121
19,16341.894168,46537.89416799999,30196.0,121
20,16222.439223999996,46174.439223999994,29952.0,121
