departure_time,arrival_time,edge,origin,dest,predicted_time,actual_time,congestion_ratio,is_congested
12,17,4->6,4,6,7,5,0.7142857142857143,False
12,18,4->6,4,6,7,6,0.8571428571428571,False
13,18,0->3,0,3,6,5,0.8333333333333334,False
13,18,0->3,0,3,6,5,0.8333333333333334,False
12,19,4->6,4,6,7,7,1.0,False
12,19,4->6,4,6,7,7,1.0,False
12,19,4->6,4,6,7,7,1.0,False
13,19,4->6,4,6,7,6,0.8571428571428571,False
13,19,4->6,4,6,7,6,0.8571428571428571,False
13,19,4->6,4,6,7,6,0.8571428571428571,False
13,19,5->1,5,1,6,6,1.0,False
13,19,0->3,0,3,6,6,1.0,False
13,19,0->3,0,3,6,6,1.0,False
13,19,0->3,0,3,6,6,1.0,False
13,19,0->3,0,3,6,6,1.0,False
14,19,4->6,4,6,7,5,0.7142857142857143,False
12,20,5->1,5,1,6,8,1.3333333333333333,True
13,20,4->6,4,6,7,7,1.0,False
13,20,4->6,4,6,7,7,1.0,False
13,20,0->3,0,3,6,7,1.1666666666666667,False
14,20,4->6,4,6,7,6,0.8571428571428571,False
14,20,4->6,4,6,7,6,0.8571428571428571,False
14,20,4->6,4,6,7,6,0.8571428571428571,False
14,20,4->6,4,6,7,6,0.8571428571428571,False
14,20,4->6,4,6,7,6,0.8571428571428571,False
14,20,0->3,0,3,6,6,1.0,False
15,20,0->3,0,3,6,5,0.8333333333333334,False
13,21,0->3,0,3,6,8,1.3333333333333333,True
13,21,0->3,0,3,6,8,1.3333333333333333,True
14,21,4->6,4,6,7,7,1.0,False
14,21,5->1,5,1,6,7,1.1666666666666667,False
14,21,0->3,0,3,6,7,1.1666666666666667,False
14,21,0->3,0,3,6,7,1.1666666666666667,False
14,21,0->3,0,3,6,7,1.1666666666666667,False
15,21,4->6,4,6,7,6,0.8571428571428571,False
15,21,0->3,0,3,6,6,1.0,False
15,21,0->3,0,3,6,6,1.0,False
13,22,0->3,0,3,6,9,1.5,True
14,22,0->3,0,3,6,8,1.3333333333333333,True
15,22,0->3,0,3,6,7,1.1666666666666667,False
15,22,0->3,0,3,6,7,1.1666666666666667,False
