departure_time,arrival_time,edge,origin,dest,predicted_time,actual_time,congestion_ratio,is_congested
0,0,3->7,3,7,4,0,0.0,False
0,0,3->7,3,7,4,0,0.0,False
0,0,3->7,3,7,4,0,0.0,False
0,4,6->4,6,4,7,4,0.5714285714285714,False
0,4,6->4,6,4,7,4,0.5714285714285714,False
0,5,3->7,3,7,4,5,1.25,True
0,5,1->5,1,5,5,5,1.0,False
0,5,1->5,1,5,5,5,1.0,False
0,5,1->5,1,5,5,5,1.0,False
0,5,1->5,1,5,5,5,1.0,False
0,5,1->5,1,5,5,5,1.0,False
0,5,1->5,1,5,5,5,1.0,False
0,5,6->0,6,0,7,5,0.7142857142857143,False
0,5,6->0,6,0,7,5,0.7142857142857143,False
1,5,2->7,2,7,5,4,0.8,False
1,5,1->5,1,5,5,4,0.8,False
1,5,1->5,1,5,5,4,0.8,False
1,5,1->4,1,4,7,4,0.5714285714285714,False
1,5,6->0,6,0,7,4,0.5714285714285714,False
1,5,6->0,6,0,7,4,0.5714285714285714,False
1,5,6->0,6,0,7,4,0.5714285714285714,False
0,6,3->7,3,7,4,6,1.5,True
0,6,3->0,3,0,6,6,1.0,False
0,6,1->5,1,5,5,6,1.2,False
1,6,2->7,2,7,5,5,1.0,False
1,6,6->0,6,0,7,5,0.7142857142857143,False
2,6,4->6,4,6,7,4,0.5714285714285714,False
2,6,1->3,1,3,11,4,0.36363636363636365,False
0,7,3->7,3,7,4,7,1.75,True
0,7,3->7,3,7,4,7,1.75,True
0,7,3->7,3,7,4,7,1.75,True
0,7,3->7,3,7,4,7,1.75,True
0,7,3->7,3,7,4,7,1.75,True
0,7,1->5,1,5,5,7,1.4,True
0,7,6->4,6,4,7,7,1.0,False
0,7,6->4,6,4,7,7,1.0,False
0,7,6->4,6,4,7,7,1.0,False
0,7,6->0,6,0,7,7,1.0,False
0,7,6->0,6,0,7,7,1.0,False
0,7,6->0,6,0,7,7,1.0,False
0,7,6->0,6,0,7,7,1.0,False
0,7,6->0,6,0,7,7,1.0,False
0,7,6->0,6,0,7,7,1.0,False
0,7,6->0,6,0,7,7,1.0,False
1,7,2->7,2,7,5,6,1.2,False
2,7,4->6,4,6,7,5,0.7142857142857143,False
2,7,4->6,4,6,7,5,0.7142857142857143,False
2,7,5->6,5,6,9,5,0.5555555555555556,False
2,7,5->6,5,6,9,5,0.5555555555555556,False
0,8,3->7,3,7,4,8,2.0,True
0,8,3->7,3,7,4,8,2.0,True
0,8,3->7,3,7,4,8,2.0,True
0,8,3->7,3,7,4,8,2.0,True
0,8,3->7,3,7,4,8,2.0,True
0,8,3->7,3,7,4,8,2.0,True
1,8,3->7,3,7,4,7,1.75,True
1,8,3->7,3,7,4,7,1.75,True
1,8,3->7,3,7,4,7,1.75,True
1,8,2->7,2,7,5,7,1.4,True
1,8,2->7,2,7,5,7,1.4,True
1,8,6->0,6,0,7,7,1.0,False
1,8,6->0,6,0,7,7,1.0,False
1,8,6->0,6,0,7,7,1.0,False
1,8,6->0,6,0,7,7,1.0,False
2,8,1->7,1,7,8,6,0.75,False
4,8,0->6,0,6,7,4,0.5714285714285714,False
4,8,0->6,0,6,7,4,0.5714285714285714,False
1,9,3->7,3,7,4,8,2.0,True
1,9,3->7,3,7,4,8,2.0,True
1,9,3->7,3,7,4,8,2.0,True
1,9,2->7,2,7,5,8,1.6,True
2,9,2->7,2,7,5,7,1.4,True
2,9,2->7,2,7,5,7,1.4,True
3,9,7->3,7,3,7,6,0.8571428571428571,False
3,9,4->1,4,1,8,6,0.75,False
3,9,0->3,0,3,6,6,1.0,False
3,9,6->3,6,3,11,6,0.5454545454545454,False
5,9,5->1,5,1,6,4,0.6666666666666666,False
9,9,7->6,7,6,11,0,0.0,False
0,10,3->7,3,7,4,10,2.5,True
0,10,2->0,2,0,5,10,2.0,True
0,10,6->0,6,0,7,10,1.4285714285714286,True
0,10,6->0,6,0,7,10,1.4285714285714286,True
2,10,2->7,2,7,5,8,1.6,True
3,10,2->5,2,5,6,7,1.1666666666666667,False
3,10,2->5,2,5,6,7,1.1666666666666667,False
3,10,2->5,2,5,6,7,1.1666666666666667,False
3,10,2->1,2,1,10,7,0.7,False
4,10,4->6,4,6,7,6,0.8571428571428571,False
4,10,0->6,0,6,7,6,0.8571428571428571,False
4,10,0->6,0,6,7,6,0.8571428571428571,False
4,10,7->5,7,5,6,6,1.0,False
5,10,5->1,5,1,6,5,0.8333333333333334,False
5,10,0->1,0,1,9,5,0.5555555555555556,False
5,10,0->4,0,4,5,5,1.0,False
5,10,7->3,7,3,7,5,0.7142857142857143,False
5,10,0->3,0,3,6,5,0.8333333333333334,False
5,10,0->6,0,6,8,5,0.625,False
5,10,7->2,7,2,5,5,1.0,False
5,10,7->2,7,2,5,5,1.0,False
6,10,0->5,0,5,5,4,0.8,False
6,10,0->5,0,5,5,4,0.8,False
6,10,4->1,4,1,8,4,0.5,False
6,10,7->2,7,2,5,4,0.8,False
6,10,7->2,7,2,5,4,0.8,False
10,10,0->6,0,6,8,0,0.0,False
2,11,1->3,1,3,11,9,0.8181818181818182,False
2,11,1->3,1,3,11,9,0.8181818181818182,False
2,11,1->3,1,3,11,9,0.8181818181818182,False
2,11,1->3,1,3,11,9,0.8181818181818182,False
2,11,1->3,1,3,11,9,0.8181818181818182,False
2,11,1->3,1,3,11,9,0.8181818181818182,False
2,11,5->0,5,0,5,9,1.8,True
2,11,5->0,5,0,5,9,1.8,True
2,11,5->6,5,6,9,9,1.0,False
3,11,6->1,6,1,13,8,0.6153846153846154,False
4,11,4->6,4,6,7,7,1.0,False
4,11,4->6,4,6,7,7,1.0,False
4,11,0->5,0,5,5,7,1.4,True
4,11,4->1,4,1,8,7,0.875,False
5,11,0->1,0,1,9,6,0.6666666666666666,False
5,11,0->1,0,1,9,6,0.6666666666666666,False
5,11,0->1,0,1,9,6,0.6666666666666666,False
6,11,0->5,0,5,5,5,1.0,False
6,11,0->5,0,5,5,5,1.0,False
6,11,0->5,0,5,5,5,1.0,False
6,11,4->1,4,1,8,5,0.625,False
6,11,4->1,4,1,8,5,0.625,False
6,11,7->2,7,2,5,5,1.0,False
6,11,7->2,7,2,5,5,1.0,False
6,11,7->5,7,5,6,5,0.8333333333333334,False
7,11,5->1,5,1,6,4,0.6666666666666666,False
2,12,4->6,4,6,7,10,1.4285714285714286,True
4,12,4->6,4,6,7,8,1.1428571428571428,False
4,12,0->5,0,5,5,8,1.6,True
4,12,4->1,4,1,8,8,1.0,False
4,12,4->1,4,1,8,8,1.0,False
4,12,4->1,4,1,8,8,1.0,False
4,12,4->1,4,1,8,8,1.0,False
